Image URL, Title, Price
"https://m.media-amazon.com/images/I/615pVwt1rNL._AC_UL320_.jpg", || ,"Hoard 0.5W Led Plug in Smart Night Lamp with Automatic Sensor -(Warm White) Pack of 1(Polycarbonate)", || ,"₹284"
"https://m.media-amazon.com/images/I/71jJ0pEwD8L._AC_UL320_.jpg", || ,"Artvibes In This Home Decorative Wall Art Mdf Wooden Hanger For Living Room|Bedroom|Artworks Decor|Office|Gift|Quotes Decor Items|Wall Hanging For Decoration|Modern Art(Wh_6508N)", || ,"₹239"
"https://m.media-amazon.com/images/I/615njJ6GEIL._AC_UL320_.jpg", || ,"Amazon Brand - Solimo Vintage Designer Wooden Wall Hangings Home Decor Items | Large | Multicolor, 78 Cm", || ,"₹189"
"https://m.media-amazon.com/images/I/81x4raedwfL._AC_UL320_.jpg", || ,"Fresh From Loom Curtains for Door 7 Feet Long | Door Window Curtain | Premium Polyester Weaved Parda | Latest Modern Parde for Living Room Bedroom | Home Screens |Eyelet Ring (Beige, 2pc), Eyelet", || ,"₹1,272"
"https://m.media-amazon.com/images/I/6179eu+TrZL._AC_UL320_.jpg", || ,"Double-Layered Soy Wax Candle with Red Floral Gel Design & Lavender Fragrance – Elegant Aromatherapy Candle for Relaxation, Home Decor, Gifts – Long-Lasting, Handcrafted Artisanal Candle", || ,"₹300"
"https://m.media-amazon.com/images/I/51HpPkPdrDL._AC_UL320_.jpg", || ,"Shree Shivay Namastubhyam Mantra board for mahakal sticker Home Spiritual Quote Wall Hanging Best PLAT ACRALICK Golden Wall Decor for shivay", || ,"₹240"
"https://m.media-amazon.com/images/I/71zjvUApaRL._AC_UL320_.jpg", || ,"HomeStrap Set Of 6 Non-Woven Printed Saree Cover/Cloth Storage/Wardrobe Organizer For Clothes With Transparent Window(Grey)(Shark Tank Featured),45 Cm,22 Cm", || ,"₹359"
"https://m.media-amazon.com/images/I/71oeZBaEduL._AC_UL320_.jpg", || ,"Amazon Brand - Solimo Wooden Home and Wall Decor Items | Set of 5", || ,"₹169"
"https://m.media-amazon.com/images/I/51Fo1fgI53L._AC_UL320_.jpg", || ,"Amazon Brand - Umi Home decor Items, Decorative items for home Littile Cute Mini Buddha Monk Idol Statue for Car Dashboard, Living Room, Table Top Home Decoration Showpiece (Multicolor) Set of 4 Piece", || ,"₹240"
"https://m.media-amazon.com/images/I/81UPOufA5DL._AC_UL320_.jpg", || ,"Amazon Brand - Umi Lotus Tealight Candle Holder for Diwali, Home Decor with Urli Bowl Base Candle Holder for Diwali Decoration Items for Home with Base of Urli Bowl, Diwali Gift Items", || ,"₹499"
"https://m.media-amazon.com/images/I/61xXbAfLGVL._AC_UL320_.jpg", || ,"amazon basics Creative Black Birds Matte Figurines Home Decorations Accessories (Pack of 2, Black)", || ,"₹313"
"https://m.media-amazon.com/images/I/61ZurVFtJAS._AC_UL320_.jpg", || ,"VRCT Vintage Wall Lamp Industrial Black Diamond Metal Cage Retro Living Room Wall Ceiling Lamp", || ,"₹284"
"https://m.media-amazon.com/images/I/71iYwiCZjtL._AC_UL320_.jpg", || ,"amazon basics Artisan Crafted Ceramic Donut Shaped Vase for Unique Home Decor Accent - Pack of 1, White", || ,"₹209"
"https://m.media-amazon.com/images/I/71mqJyckdsL._AC_UL320_.jpg", || ,"Amazon Brand - Solimo Collage Photo Frames (Set of 11, Wall Hanging, Black, SOL-HD-PF2, Synthetic Wood), Rectangular;Square", || ,"₹1,059"
"https://m.media-amazon.com/images/I/81lDMsQoV2L._AC_UL320_.jpg", || ,"HindCraft Chakra Tree, Crystal Tree for Positive Energy - Crystals & Healing Stones - Feng Shui Seven Chakra Tree of Life Decor - Home Decorations for Living Room, 7 Chakra Tree, 200 Beads, 8-10""", || ,"₹469"
"https://m.media-amazon.com/images/I/71kQc9dgyML._AC_UL320_.jpg", || ,"Amazon Brand - Solimo MDF Wall Hanging for Home Decor | Enjoy The Little Things", || ,"₹149"
"https://m.media-amazon.com/images/I/71CQupG26dL._AC_UL320_.jpg", || ,"Amazon Brand - Solimo Wooden Enjoy The Little Things Quote Study Table Decor | Home and Office Decor Item, 15 Cm", || ,"₹189"
"https://m.media-amazon.com/images/I/910RSCX5U1L._AC_UL320_.jpg", || ,"PREK Seven Chakra Crystals and Gemstones, Seven Chakra Crystal Tree Showpiece for Good Luck Home Decor Item Bonsai Money Tree Plant Gift Item Figurine Standard Size - Multicolor, 1 Piece", || ,"₹599"
"https://m.media-amazon.com/images/I/71ZuMlGM5XL._AC_UL320_.jpg", || ,"amazon basics Home Décor Elephant Family Matte Finish Ceramic Fantasy Figures(Set of 3 Piece,Multicolor)", || ,"₹665"
